Event_ID,Detected_At,Published_At,Source_Name,Source_Type,Source_URL,Headline,Event_Summary,Event_Category_Code,Direction,Magnitude,Persistence,Confidence,Classification_Evidence,Provider_Sentiment_Score,Provider_Relevance_Score,Provider_Topics
AV-7d9b9582727d7a82,2026-09-19T23:38:55.607474+00:00,2026-09-19T23:04:30+00:00,Stock Traders Daily,Financial News,https://news.stocktradersdaily.com/news_release/12/How_Genesco_Inc._GCO_Affects_Rotational_Strategy_Timing_091926023602_1789799762.html,How Genesco Inc. (GCO) Affects Rotational Strategy Timing,"This article analyzes Genesco Inc. (GCO) through the lens of a rotational strategy, highlighting weak near-term sentiment but strong long-term potential. It details an exceptional 57.0:1 risk-reward setup, targeting a 16.4% gain against a 0.3% risk. The piece also outlines three AI-generated trading strategies—Position, Momentum Breakout, and Risk Hedging—tailored for different risk profiles and holding periods, based on multi-timeframe signal analysis.",GEOPOLITICAL_RISK,Neutral,Low,Medium,0.85,war,0.0375,1.0,financial_markets
AV-1796451d8f21a918,2026-09-19T23:38:55.607474+00:00,2026-09-19T21:49:05+00:00,Kalkine Media,Financial News,https://kalkinemedia.com/us/stocks/utility/is-duke-energy-nyseduk-ready-for-the-next-power-demand-shift,Is Duke Energy (NYSE:DUK) Ready for the Next Power-Demand Shift?,"Duke Energy Corporation (NYSE:DUK) is currently being analyzed in the context of expanding grid infrastructure and the increasing power demands from data centers, amidst broader U.S. market trends of easing oil pressure, lower bond yields, and renewed interest in technology. The article emphasizes that the company's ability to navigate changing demand, financing, and competitive environments through disciplined execution will be more crucial than short-term market sentiment. Factors such as demand quality, operational rigor, clear communication, competitive positioning, and the broader policy environment are highlighted as key to understanding Duke Energy's long-term prospects.",TREASURY_YIELDS,Neutral,Medium,Short,0.85,AV topic:economy_monetary | bond yield,0.1386,1.0,financial_markets | economy_macro | energy_transportation | economy_monetary
AV-0be6b1f912a0ef37,2026-09-19T23:38:55.607474+00:00,2026-09-19T21:42:52+00:00,Investing.com Australia,Financial News,https://au.investing.com/news/stock-market-news/honeywell-wins-539m-navy-contract-for-navigation-parts-93CH-4649609,Honeywell wins $53.9M Navy contract for navigation parts By Investing.com,"Honeywell Aerospace Technologies has been awarded a $53.9 million contract by the U.S. Department of War to supply components for the Navy's WSN-7 inertial navigation systems. The Minneapolis-based company will provide up to 1,125 ring laser gyro parts over five years, with all manufacturing taking place at its Minneapolis facility. The contract is a firm-fixed-price, sole-source award running through September 2031, with future delivery orders funded by Navy working capital.",GEOPOLITICAL_RISK,Positive,High,Medium,0.85,war,0.4113,1.0,manufacturing | finance
AV-9b3875a17fe187b9,2026-09-19T23:38:55.607474+00:00,2026-09-19T21:36:05+00:00,Kalkine Media,Financial News,https://kalkinemedia.com/us/news/announcements/diana-shipping-directors-spouse-executes-122471-warrants-via-coronis-investments,"Diana Shipping Director’s Spouse Executes 122,471 Warrants via Coronis Investments","Anastasios Margaronis, a director at Diana Shipping Inc. (NYSE:DSX), reported that his spouse, Mrs. Maria Margaroni, exercised 122,471 warrants through Coronis Investments Inc. on September 17, 2026. This transaction resulted in the issuance of 207,621 shares of Diana Shipping Common Stock. Following the exercise, the indirect ownership of shares held by Mrs. Maria Margaroni through Coronis Investments Inc. totals 1,181,452 shares.",GEOPOLITICAL_RISK,Neutral,Low,Medium,0.85,war,0.1103,1.0,finance | financial_markets
AV-2c86767b2a9bc4c9,2026-09-19T23:38:55.607474+00:00,2026-09-19T20:52:11+00:00,Dealroom,Financial News,https://app.dealroom.co/news/note/accel-kkr-completes-accertify-carve-out-from-american-express,Accel-KKR completes Accertify carve-out from American Express,"Accel-KKR has completed the carve-out acquisition of Accertify, a fraud-protection and chargeback-management software provider, from American Express. Accertify will now operate as a standalone private company. This move aims to support product innovation and growth in fraud technology.",GEOPOLITICAL_RISK,Neutral,Low,Medium,0.84,war,0.105,0.938,mergers_and_acquisitions | technology | finance
AV-1cbd307279b870a6,2026-09-19T23:38:55.607474+00:00,2026-09-19T20:11:09+00:00,Yahoo Finance,Financial News,https://finance.yahoo.com/energy/articles/tesla-killed-solar-roof-now-203031022.html,Tesla Killed Its Solar Roof. Now Elon Musk Wants 100 GW of Solar,"Despite recently abandoning its Solar Roof product, Tesla, under Elon Musk, is pursuing a massive solar-cell manufacturing initiative in Texas, Project Crystal Sun, aiming for 100 gigawatts of annual U.S. solar production capacity by 2028. This ambitious plan, which includes a $10.1 billion investment and thousands of jobs, comes as Musk highlights solar and batteries as crucial for meeting surging electricity demand from AI and robotics. The project signifies a shift in Tesla's solar strategy towards large-scale manufacturing rather than residential integration.",GEOPOLITICAL_RISK,Positive,Medium,Medium,0.85,war,0.1722,1.0,technology | energy_transportation | manufacturing | economy_macro
AV-21b16463f7ff5f2a,2026-09-19T23:38:55.607474+00:00,2026-09-19T20:06:36+00:00,MarketBeat,Financial News,https://www.marketbeat.com/instant-alerts/event-equinix-sees-ai-driving-data-center-demand-interconnection-growth-2026-09-19/,"Equinix Sees AI Driving Data Center Demand, Interconnection Growth","Equinix executives indicate that artificial intelligence is significantly accelerating demand for high-density data center capacity and interconnection services, requiring more complex, low-latency infrastructure. The company's interconnection business grew 9% this year, supported by new offerings like Fabric One and Inference Exchange, which address the complex networking needs of AI workloads. Equinix anticipates 9%-12% annual adjusted funds from operations per-share growth through 2029, driven by robust demand and development projects generating mid-20% cash yields.",DATA_CENTER_DEMAND,Positive,High,Long,0.95,AV topic:technology | data center capacity | data center demand,0.3669,1.0,technology | earnings | real_estate
AV-ab6f06bbc9b1f323,2026-09-19T23:38:55.607474+00:00,2026-09-19T19:52:23+00:00,Yahoo Finance,Financial News,https://finance.yahoo.com/healthcare/articles/agilent-wants-pathology-labs-digital-195217186.html,"Agilent (A) Wants Pathology Labs To Go Digital, 540 Slides At A Time","Agilent Technologies (A) has launched a new slide scanner, the Agilent S540MD, in the U.S., capable of holding 540 glass slides. This FDA-cleared device aims to help pathology labs digitize their workflows and prepare for AI assistance, leveraging Agilent's expertise despite the underlying hardware being from Hamamatsu. The launch follows a strong financial quarter for Agilent, though the full impact of the scanner on revenue remains to be seen.",GEOPOLITICAL_RISK,Positive,High,Medium,0.85,war,0.4136,1.0,earnings | life_sciences | technology
AV-9874457f7b6fc4ae,2026-09-19T23:38:55.607474+00:00,2026-09-19T17:38:28+00:00,SiliconANGLE,Financial News,https://siliconangle.com/2026/09/19/salesforce-after-dreamforce-how-the-crm-giant-can-grow-beyond-its-own-interface/,Salesforce after Dreamforce: How the CRM giant can grow beyond its own interface,"Salesforce's future growth hinges on AI agents doing more work outside its traditional interface, transforming customer interaction from application screens to desired outcomes. The company is developing an enterprise AI harness, combining data, business knowledge, workflows, and controls, to integrate deterministic software with large language models. This approach, supported by customer interest in ""Agentforce"" and ""Headless"" access, aims to position Salesforce as the essential system for making AI useful to businesses, extending its reach beyond its own UI and potentially increasing consumption on its platform.",GEOPOLITICAL_RISK,Positive,High,Medium,0.85,war,0.3389,1.0,technology
AV-9834df642c331942,2026-09-19T23:38:55.607474+00:00,2026-09-19T17:08:31+00:00,Kalkine Media,Financial News,https://kalkinemedia.com/ca/stocks/metal-and-mining/what-is-driving-the-conversation-around-barrick-mining-tsxabx,What Is Driving the Conversation Around Barrick Mining (TSX:ABX)?,"This article discusses the factors influencing Barrick Mining (TSX:ABX) in the Canadian market, focusing on how precious-metals businesses are affected by changing bond yields, currency fluctuations, and geopolitical demand for defensive assets. Barrick's operations are centered on gold and copper mining, and its performance is tied to specific operating considerations rather than just the broader TSX trends. The article emphasizes that company-specific disclosures and activities are crucial for understanding its progression within the current market environment.",TREASURY_YIELDS,Neutral,Low,Short,0.78,bond yield,0.0975,0.6431,financial_markets | economy_macro
