Ticker,Asset_Class,Sector,Industry_Theme,Instrument_Form,Instrument_Type,Peer_Group,Hierarchy_Level,Decision_Support_State,Detection_State,Signal_Window,ML_Quality,ML_Daily_PctRank,Confirmation_State,Structure_State,Structure_History_Status,Rotation_State,Momentum_Score,Acceleration_Score,Trend_Score,Rotation_Readiness_Score,Early_Rotation_State,Early_Rotation_Score,Pct_Above_EMA20,EMA20_Slope_5D_Pct,MA30_Slope_5D_Pct,Price,EMA20,MA30,MA50,MA100,MA200,Pct_Above_EMA20_MA,Days_Since_Price_EMA20_Cross,EMA20_Slope_5D_Pct_MA,MA30_Slope_5D_Pct_MA,PeerPct_Momentum,PeerPct_Acceleration,PeerPct_Trend,PeerPct_Rotation_Readiness,PeerPct_Early_Rotation,PeerPct_Pct_Above_EMA20,PeerPct_EMA20_Slope_5D_Pct,PeerPct_ML_Daily_PctRank,PeerPct__Rotation_State,PeerPct__Early_State,PeerPct__Decision_State,Peer_Group_Size,Peer_Comparison_Available,Peer_Relative_Read,Asset_Class_Size,AssetClass_Pct_Leader_or_Emerging,AssetClass_Pct_Early_or_Building,AssetClass_Pct_New_Detection,AssetClass_Pct_Structural_Caution,Asset_Class_Read,Sector_Size,Sector_Pct_Leader_or_Emerging,Sector_Pct_Early_or_Building,Sector_Pct_New_Detection,Sector_Pct_Structural_Caution,Sector_Read,PeerGroup_Size_Summary,Peer_Group_Read,PeerGroup_Pct_Leader_or_Emerging,PeerGroup_Pct_Early_or_Building,PeerGroup_Pct_New_Detection,PeerGroup_Pct_Structural_Caution,Asset_Current_Positive,Asset_Peer_Positive,Peer_Group_Positive,Sector_Positive,Asset_Class_Positive,Peer_Group_Negative,Sector_Negative,Asset_Class_Negative,Support_Level_Count,Caution_Level_Count,Vertical_Hierarchy_Read,Hierarchy_Path,Vertical_Context
CORN,Commodities,Agriculture,Corn,ETF,Commodity ETF,Agriculture Commodities,Commodity,● ESTABLISHED LEADER,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,▲ CONFIRMED LEADER,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,LEADER,72.24898236092267,83.5820895522388,100.0,82.58666892808685,EARLY ENTRY,87.01492537313432,0.02,1.435,1.776,19.92,19.53,18.946,18.46,18.154,18.0,0.02,21,1.435,1.776,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,YES,▲ STRONG WITHIN PEERS,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,▼ MIXED / CAUTION,3,0.6666666666666666,0.6666666666666666,0.0,0.0,▲ BROAD STRENGTH,3,▲ BROAD GROUP STRENGTH,0.6666666666666666,0.6666666666666666,0.0,0.0,True,True,True,True,False,False,False,True,4,1,★ STRONG HIERARCHICAL CONFIRMATION,Commodities → Agriculture → Agriculture Commodities → CORN,Asset Class: ▼ MIXED / CAUTION | Sector: ▲ BROAD STRENGTH | Peer Group: ▲ BROAD GROUP STRENGTH | Asset vs Peers: ▲ STRONG WITHIN PEERS
DBA,Commodities,Agriculture,Broad Agriculture,ETF,Commodity ETF,Agriculture Commodities,Commodity Basket,● ESTABLISHED LEADER,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,▲ CONFIRMED LEADER,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,LEADER,70.63319764812302,82.08955223880598,100.0,81.41180461329715,EARLY ENTRY,85.1492537313433,0.006,0.677,0.777,28.93,28.754,28.367,28.12,27.724,26.892,0.006,19,0.677,0.777,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.8333333333333334,0.8333333333333334,0.8333333333333334,3,YES,▲ ABOVE-AVERAGE WITHIN PEERS,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,▼ MIXED / CAUTION,3,0.6666666666666666,0.6666666666666666,0.0,0.0,▲ BROAD STRENGTH,3,▲ BROAD GROUP STRENGTH,0.6666666666666666,0.6666666666666666,0.0,0.0,True,True,True,True,False,False,False,True,4,1,★ STRONG HIERARCHICAL CONFIRMATION,Commodities → Agriculture → Agriculture Commodities → DBA,Asset Class: ▼ MIXED / CAUTION | Sector: ▲ BROAD STRENGTH | Peer Group: ▲ BROAD GROUP STRENGTH | Asset vs Peers: ▲ ABOVE-AVERAGE WITHIN PEERS
WEAT,Commodities,Agriculture,Wheat,ETF,Commodity ETF,Agriculture Commodities,Commodity,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,● DEVELOPING,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,WEAKENING,69.6935775667119,31.343283582089555,85.0,62.015094979647216,EARLY WATCH,56.88805970149254,-0.003,0.49,1.214,26.25,26.325,25.588,25.07,24.24,22.815,-0.003,0,0.49,1.214,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,YES,▼ BELOW-AVERAGE WITHIN PEERS,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,▼ MIXED / CAUTION,3,0.6666666666666666,0.6666666666666666,0.0,0.0,▲ BROAD STRENGTH,3,▲ BROAD GROUP STRENGTH,0.6666666666666666,0.6666666666666666,0.0,0.0,False,False,True,True,False,False,False,True,2,1,● BROADER SUPPORT / ASSET NOT ACTIVE,Commodities → Agriculture → Agriculture Commodities → WEAT,Asset Class: ▼ MIXED / CAUTION | Sector: ▲ BROAD STRENGTH | Peer Group: ▲ BROAD GROUP STRENGTH | Asset vs Peers: ▼ BELOW-AVERAGE WITHIN PEERS
PDBC,Commodities,Broad Commodities,Diversified Commodities,ETF,Commodity ETF,Broad Commodities,Commodity Basket,● ESTABLISHED LEADER,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,▲ CONFIRMED LEADER,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,LEADER,86.59995477159656,97.01492537313432,100.0,93.07445725915876,EARLY ENTRY,96.26865671641792,0.051,2.683,1.915,19.79,18.837,18.324,17.824,17.717,16.302,0.051,25,2.683,1.915,,,,,,,,,,,,1,NO — SINGLE MEMBER,NO PEER COMPARISON YET,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,▼ MIXED / CAUTION,1,1.0,1.0,0.0,0.0,▲ BROAD STRENGTH,1,SINGLE-ASSET GROUP,1.0,1.0,0.0,0.0,True,False,False,True,False,False,False,True,2,1,⚠ ISOLATED STRENGTH / BROADER CAUTION,Commodities → Broad Commodities → Broad Commodities → PDBC,Asset Class: ▼ MIXED / CAUTION | Sector: ▲ BROAD STRENGTH | Peer Group: SINGLE-ASSET GROUP | Asset vs Peers: NO PEER COMPARISON YET
UNG,Commodities,Energy,Natural Gas,ETF,Commodity ETF,Energy Commodities,Commodity,▼ STRUCTURAL CAUTION,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,▼ DETERIORATING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,LAGGING,25.545002261420173,76.11940298507463,15.0,38.081071913161466,NO SIGNAL,56.64925373134328,-0.013,-0.159,0.352,10.17,10.299,10.156,10.348,10.795,11.645,-0.013,2,-0.159,0.352,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,2,YES,● MIDDLE OF PEER GROUP,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,▼ MIXED / CAUTION,6,0.8333333333333334,0.6666666666666666,0.0,0.16666666666666666,▲ BROAD STRENGTH,2,▼ GROUP UNDER STRUCTURAL PRESSURE,0.5,0.0,0.0,0.5,False,False,False,True,False,True,False,True,1,2,▼ MULTI-LEVEL CAUTION,Commodities → Energy → Energy Commodities → UNG,Asset Class: ▼ MIXED / CAUTION | Sector: ▲ BROAD STRENGTH | Peer Group: ▼ GROUP UNDER STRUCTURAL PRESSURE | Asset vs Peers: ● MIDDLE OF PEER GROUP
USO,Commodities,Energy,Crude Oil,ETF,Commodity ETF,Energy Commodities,Commodity,● ESTABLISHED LEADER,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,▲ CONFIRMED LEADER,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,LEADER,95.71347806422432,100.0,100.0,98.07106512890095,EXTENDED,99.1044776119403,0.112,5.735,2.919,154.9,139.359,132.23,127.619,129.549,109.123,0.112,10,5.735,2.919,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2,YES,▲ STRONG WITHIN PEERS,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,▼ MIXED / CAUTION,6,0.8333333333333334,0.6666666666666666,0.0,0.16666666666666666,▲ BROAD STRENGTH,2,▼ GROUP UNDER STRUCTURAL PRESSURE,0.5,0.0,0.0,0.5,True,True,False,True,False,True,False,True,3,2,▲ ASSET LEADS MIXED PEERS,Commodities → Energy → Energy Commodities → USO,Asset Class: ▼ MIXED / CAUTION | Sector: ▲ BROAD STRENGTH | Peer Group: ▼ GROUP UNDER STRUCTURAL PRESSURE | Asset vs Peers: ▲ STRONG WITHIN PEERS
CPER,Commodities,Metals,Copper,ETF,Commodity ETF,Industrial Metals,Commodity,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,● DEVELOPING,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,WATCH,52.859565807327,49.25373134328358,50.0,51.062924016282224,EARLY WATCH,43.31343283582089,-0.015,0.169,0.558,39.18,39.79,39.934,39.26,38.706,36.901,-0.015,1,0.169,0.558,,,,,,,,,,,,1,NO — SINGLE MEMBER,NO PEER COMPARISON YET,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,▼ MIXED / CAUTION,1,0.0,0.0,0.0,0.0,● MIXED,1,SINGLE-ASSET GROUP,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,True,0,1,● MIXED HIERARCHY,Commodities → Metals → Industrial Metals → CPER,Asset Class: ▼ MIXED / CAUTION | Sector: ● MIXED | Peer Group: SINGLE-ASSET GROUP | Asset vs Peers: NO PEER COMPARISON YET
GLD,Commodities,Precious Metals,Gold,ETF,Commodity ETF,Precious Metals,Commodity,▼ STRUCTURAL CAUTION,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,— NOT CONFIRMED,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,WATCH,39.291044776119406,35.82089552238806,20.0,33.42723880597015,NO SIGNAL,39.07462686567164,-0.013,-0.522,1.178,398.77,403.878,403.042,391.217,399.31,415.934,-0.013,3,-0.522,1.178,1.0,1.0,0.75,1.0,0.5,1.0,0.5,,1.0,0.75,0.75,2,YES,▲ STRONG WITHIN PEERS,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,▼ MIXED / CAUTION,2,0.0,0.0,0.0,1.0,▼ BROAD STRUCTURAL PRESSURE,2,▼ GROUP UNDER STRUCTURAL PRESSURE,0.0,0.0,0.0,1.0,False,True,False,False,False,True,True,True,1,3,▼ MULTI-LEVEL CAUTION,Commodities → Precious Metals → Precious Metals → GLD,Asset Class: ▼ MIXED / CAUTION | Sector: ▼ BROAD STRUCTURAL PRESSURE | Peer Group: ▼ GROUP UNDER STRUCTURAL PRESSURE | Asset vs Peers: ▲ STRONG WITHIN PEERS
SLV,Commodities,Precious Metals,Silver,ETF,Commodity ETF,Precious Metals,Commodity,▼ STRUCTURAL CAUTION,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,● MODERATE,0.6923076923076923,▼ DETERIORATING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,LAGGING,26.54228855721393,29.85074626865672,20.0,25.899253731343283,NO SIGNAL,39.22388059701493,-0.018,-0.225,1.907,58.12,59.204,58.841,56.46,60.872,65.578,-0.018,1,-0.225,1.907,0.5,0.5,0.75,0.5,1.0,0.5,1.0,,0.5,0.75,0.75,2,YES,▲ ABOVE-AVERAGE WITHIN PEERS,9,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,▼ MIXED / CAUTION,2,0.0,0.0,0.0,1.0,▼ BROAD STRUCTURAL PRESSURE,2,▼ GROUP UNDER STRUCTURAL PRESSURE,0.0,0.0,0.0,1.0,False,True,False,False,False,True,True,True,1,3,▼ MULTI-LEVEL CAUTION,Commodities → Precious Metals → Precious Metals → SLV,Asset Class: ▼ MIXED / CAUTION | Sector: ▼ BROAD STRUCTURAL PRESSURE | Peer Group: ▼ GROUP UNDER STRUCTURAL PRESSURE | Asset vs Peers: ▲ ABOVE-AVERAGE WITHIN PEERS
UUP,Currencies,U.S. Dollar,Long U.S. Dollar,ETF,Currency ETF,Currencies,Currency,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,— NOT CONFIRMED,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,WATCH,52.8392130257802,86.56716417910447,50.0,62.24779511533243,NO SIGNAL,48.582089552238806,-0.0,-0.1,-0.257,28.07,28.074,28.078,28.21,28.014,27.633,-0.0,5,-0.1,-0.257,,,,,,,,,,,,1,NO — SINGLE MEMBER,NO PEER COMPARISON YET,1,0.0,0.0,0.0,0.0,● MIXED,1,0.0,0.0,0.0,0.0,● MIXED,1,SINGLE-ASSET GROUP,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0,0,● MIXED HIERARCHY,Currencies → U.S. Dollar → Currencies → UUP,Asset Class: ● MIXED | Sector: ● MIXED | Peer Group: SINGLE-ASSET GROUP | Asset vs Peers: NO PEER COMPARISON YET
ETHE,Digital Assets,Crypto,Ethereum,Trust/ETF,Digital Asset Fund,Crypto Assets,Digital Asset,● ESTABLISHED LEADER,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,▲ CONFIRMED LEADER,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,LEADER,80.48620533695161,91.04477611940298,100.0,88.53222523744913,EARLY ENTRY,95.97014925373134,0.079,3.729,4.532,20.42,18.926,17.688,16.571,16.335,18.415,0.079,48,3.729,4.532,1.0,1.0,0.75,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2,YES,▲ STRONG WITHIN PEERS,2,0.5,1.0,0.0,0.0,▲ BROAD STRENGTH,2,0.5,1.0,0.0,0.0,▲ BROAD STRENGTH,2,▲ BROAD GROUP STRENGTH,0.5,1.0,0.0,0.0,True,True,True,True,True,False,False,False,5,0,★★ BROAD MULTI-LEVEL CONFIRMATION,Digital Assets → Crypto → Crypto Assets → ETHE,Asset Class: ▲ BROAD STRENGTH | Sector: ▲ BROAD STRENGTH | Peer Group: ▲ BROAD GROUP STRENGTH | Asset vs Peers: ▲ STRONG WITHIN PEERS
